timestamp,duration_ms,buffer_bytes,transcription_length,latency_ms,error
2025-04-16T15:04:29.076Z,1000,8480,3,782,
2025-04-16T15:06:09.121Z,1000,17600,11,831,
2025-04-16T15:06:12.600Z,1000,17280,0,1314,
2025-04-16T15:06:13.303Z,1000,25280,11,1018,
2025-04-16T15:06:17.581Z,1000,23840,0,1291,
2025-04-16T15:06:18.054Z,1000,32000,13,766,
2025-04-16T15:06:21.441Z,1000,17920,0,1150,
2025-04-16T15:06:22.529Z,1000,25760,0,1237,
2025-04-16T15:06:27.191Z,1000,30240,83,896,
2025-04-16T15:06:27.305Z,1000,22240,15,2013,
2025-04-16T15:06:30.793Z,1000,16000,0,1499,
2025-04-16T15:06:30.925Z,1000,24160,23,631,
2025-04-16T15:06:34.443Z,1000,18880,3,1149,
2025-04-16T15:06:35.187Z,1000,20480,3,892,
2025-04-16T15:09:42.198Z,1000,17600,2,809,
2025-04-16T15:09:44.388Z,1000,17760,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816184387-bb173d8b-f16c-4a29-a272-4e1cb9f829d0.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816184387-bb173d8b-f16c-4a29-a272-4e1cb9f829d0.sent.wav'"
2025-04-16T15:09:46.390Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816186389-0ce755c6-4237-4936-9013-548aee046c73.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816186389-0ce755c6-4237-4936-9013-548aee046c73.sent.wav'"
2025-04-16T15:09:48.996Z,1000,16000,11,603,
2025-04-16T15:09:51.397Z,1000,19360,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816191395-4acf29d6-fc4d-4edb-b6f3-15b9a93bc9b0.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816191395-4acf29d6-fc4d-4edb-b6f3-15b9a93bc9b0.sent.wav'"
2025-04-16T15:09:53.400Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816193398-aa304e97-e0c1-42a2-9bd5-fc73ccf40ffb.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816193398-aa304e97-e0c1-42a2-9bd5-fc73ccf40ffb.sent.wav'"
2025-04-16T15:09:57.215Z,1000,16000,0,1815,
2025-04-16T15:09:57.837Z,1000,24000,32,1436,
2025-04-16T15:10:01.404Z,1000,26880,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816201404-74b3a988-9caa-4355-a66b-e269894a556e.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816201404-74b3a988-9caa-4355-a66b-e269894a556e.sent.wav'"
2025-04-16T15:10:05.454Z,1000,20640,0,5050,
2025-04-16T15:12:23.222Z,1000,18400,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816343215-d388d60a-3733-4aab-a02e-92616d004b12.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816343215-d388d60a-3733-4aab-a02e-92616d004b12.sent.wav'"
